season,Code,description,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017
01 Vasant Rutu,A1.0,Aamadosha,,,,1,5,2,1,2
01 Vasant Rutu,A11.0,Arshas,,,,6,7,6,4,4
01 Vasant Rutu,A11.10,Arsha - Raktaja Arsha,,,,,1,1,,
01 Vasant Rutu,A12.0,Artava Vyapad,,,,5,9,4,16,1
01 Vasant Rutu,A12.1,Artava Vyapad - Anartava,,,,1,,,1,
01 Vasant Rutu,A12.10,Artava Vyapad - Artava Kshaya,,,,,,,,4
01 Vasant Rutu,A12.11,ARTAVA VYAPAD - Pushpaghni Jataharini,,,,,,,,7
01 Vasant Rutu,A12.4,Artava Vyapad - Ksheenartava,,,,,,,1,
01 Vasant Rutu,A12.9,Artava Vyapad - Vataja,,,,1,,,,
01 Vasant Rutu,A13.0,Ashmaree,,,,2,3,3,5,2
01 Vasant Rutu,A13.2,Ashmaree - Pittaja,,,,1,,2,,1
01 Vasant Rutu,A16.0,Atisaara,,,,3,2,2,2,
01 Vasant Rutu,A2.0,Aamavaata,,,1,46,65,67,80,76
01 Vasant Rutu,A2.1,Aamavaata - Kaphaja,,,,,,1,,1
01 Vasant Rutu,A2.2,Aamavaata - Pittaja,,,,1,,,,
01 Vasant Rutu,A2.3,Aamavaata - Vaataja,,,,3,1,,,1
01 Vasant Rutu,A3.0,Abhighataja Shoola,,,1,14,17,20,35,40
01 Vasant Rutu,A4.0,Agnimaandya,,,,,,1,2,2
01 Vasant Rutu,A5.0,Ajeerna,,,,4,5,4,4,2
01 Vasant Rutu,A5.1,Ajeerna- vidagdhajeerna,,,,,,1,,
01 Vasant Rutu,A5.2,Ajeerna-Amajeerna,,,,1,,,,
01 Vasant Rutu,A5.3,Ajeerna-vishtabdhajeerna,,,,1,,,,
01 Vasant Rutu,A6.0,Amlapitta,,,,12,32,29,35,41
01 Vasant Rutu,A6.1,Amlapitta-Adhoga,,,,,,,1,
01 Vasant Rutu,A6.2,Amlapitta-Urdhwaga,,,,,4,2,1,4
01 Vasant Rutu,A7.0,Anaha,,,,2,1,1,,
01 Vasant Rutu,A7A.0,Anidra,,,,2,2,2,5,3
01 Vasant Rutu,A8.0,Apasmaara,,,,,,3,2,
01 Vasant Rutu,A8.7,Apasmaara - Vaataja,,,,,1,,,
01 Vasant Rutu,A9.0,Arbuda,,,,4,2,3,2,2
01 Vasant Rutu,A9.1,Arbuda - Kaphaja,,,,,,,,1
01 Vasant Rutu,A9.2,Arbuda - Maamsaja,,,,,,,2,2
01 Vasant Rutu,Anidra,A7A.0,,,,,2,,1,1
01 Vasant Rutu,B1.0,Baala Roga,,,,,2,1,,
01 Vasant Rutu,B1.32,Baala Roga – Hridroga,,,,,,,1,
01 Vasant Rutu,B1.34,Baala Roga - Krimi Roga,,,,,1,,,
01 Vasant Rutu,B1.9,Baala Roga -  Samvardana Vikara,,,,,1,,1,1
01 Vasant Rutu,B2.0,Bhagandara,,,,1,,2,1,1
01 Vasant Rutu,B2.1,Bhagandara - Arsho Bhagandara,,,,,,,,1
01 Vasant Rutu,B3.0,Bhagna,,,,3,5,9,9,2
01 Vasant Rutu,B3.2.0,Bhagna - Sandhimukta Bhagna,,,,,,,,1
01 Vasant Rutu,B5,Bhrama,,,,2,3,5,8,9
01 Vasant Rutu,C1.0,Chhardi,,,,1,,,,
01 Vasant Rutu,D0.0,Daaha,,,,,2,2,1,
01 Vasant Rutu,D1.0,Dourbalya,,,,4,1,2,3,5
01 Vasant Rutu,G1.6,Garbhapoorva Paricharya,,,,,,,,1
01 Vasant Rutu,G10.0,Guda Roga,,,,,,,,1
01 Vasant Rutu,G13.0,Gulma,,,,1,2,1,,
01 Vasant Rutu,G6.0,Garbhini,,,,2,2,,6,2
01 Vasant Rutu,G8.0,Grahanee,,,,,3,4,6,2
01 Vasant Rutu,G8.2,Grahanee-pittaj,,,,,,1,,
01 Vasant Rutu,G9.0,Granthi,,,,2,2,2,3,2
01 Vasant Rutu,G9.1,Granthi - Asthi Granthi,,,,,,1,,
01 Vasant Rutu,G9.10,Granthi (Garbhashaya),,,,,,,1,
01 Vasant Rutu,G9.11,GRANTHI - BEEJAKOSHA,,,,,,,,3
01 Vasant Rutu,G9.2,Granthi - Kaphaja Granthi,,,,,,1,,1
01 Vasant Rutu,G9.3,Granthi - Maamsaja Granthi,,,,,,2,2,
01 Vasant Rutu,G9.4,Granthi - Medoja Granthi,,,,1,1,1,3,2
01 Vasant Rutu,G9.6,Granthi - Raktaja Granthi,,,,,1,,1,
01 Vasant Rutu,G9.7,Granthi - Siraa Granthi,,,,7,14,18,17,16
01 Vasant Rutu,H2.0,Hridroga,,,,2,6,10,10,7
01 Vasant Rutu,H2.4,Hridroga - Saannipaatika Hridroga,,,,1,,,,
01 Vasant Rutu,H2.5,Hridroga - Vaataja Hridroga,,,,1,,,,
01 Vasant Rutu,J1.0,Jwara,,,,4,7,5,2,3
01 Vasant Rutu,J1.2,Jvara- pitta,,,,,1,,,
01 Vasant Rutu,J1.6,Jvara-vishama,,,,,1,,,1
01 Vasant Rutu,K1.0,Kaamalaa,,,,2,1,,,
01 Vasant Rutu,K10.10,Kshudra Roga - Charmakeela,,,,1,,,,1
01 Vasant Rutu,K10.15,Kshudra Roga - Indralupta,,,,,,1,,
01 Vasant Rutu,K10.23,Kshudra Roga - Kadara,,,,3,2,1,1,
01 Vasant Rutu,K10.28,Kshudra Roga - Kunakha,,,,,,,1,
01 Vasant Rutu,K10.29,Kshudra Roga - Khalitya,,,,3,2,2,3,2
01 Vasant Rutu,K10.32,Kshudra Roga - Mukhadooshikaa,,,,,,1,,3
01 Vasant Rutu,K10.36,Kshudra Roga - Paadadaarikaa,,,,,,,1,
01 Vasant Rutu,K10.38A,Kshudra Roga - Parikartikaa,,,,3,6,2,6,4
01 Vasant Rutu,K10.52.0,Kshudra Roga - Vyanga,,,,,,,2,1
01 Vasant Rutu,K10.52.5,Kshudra Roga - Yavaprakhyaa,,,,1,,,,
01 Vasant Rutu,K10.52.8,Kshudra Roga - Vaatakantaka,,,,1,,3,2,3
01 Vasant Rutu,K10.8,Kshudra Roga - Arumshikaa,,,,,,1,1,
01 Vasant Rutu,K2.0,Kaasa,,,1,6,18,28,23,14
01 Vasant Rutu,K2.1,Kaasa- kapha,,,,,1,2,,1
01 Vasant Rutu,K2.5,Kaasa- vata,,,1,1,1,1,1,1
01 Vasant Rutu,K3.0,Kandoo,,,,1,4,6,3,3
01 Vasant Rutu,K3.1,Kandoo - Guda Kandoo,,,,,1,,,
01 Vasant Rutu,K4.0,Karna Roga,,,,1,2,1,2,2
01 Vasant Rutu,K4.10,Karna Roga - Karnabaadhirya - Kaphaanubandha,,,,,,,,3
01 Vasant Rutu,K4.11,Karna Roga - Karnabaadhirya - Shuddha Vaataja,,,,,,1,,1
01 Vasant Rutu,K4.13,Karna Roga - Karnakandoo,,,,,,,,2
01 Vasant Rutu,K4.18,Karna Roga - Karnapratinaaha,,,,,,,,1
01 Vasant Rutu,K4.19,Karna Roga - Karnashoola,,,,,,1,1,4
01 Vasant Rutu,K4.20,Karna Roga - Karnashopha,,,,,,,1,
01 Vasant Rutu,K4.21,Karna Roga - Karnasraava,,,,,1,,,
01 Vasant Rutu,K4.25,Karna Roga - Uchcha Shruti,,,,,,,,1
01 Vasant Rutu,K4.3,Karna Roga - Karna  Supti,,,,,,,,1
01 Vasant Rutu,K4.9,Karna Roga - Karnabaadhirya,,,,1,1,,1,
01 Vasant Rutu,K6.0,Klaibya,,,,,1,2,2,1
01 Vasant Rutu,K6.2,Klaibya - Beejopaghaataja,,,,,,1,,
01 Vasant Rutu,K7.0,Klama,,,,,,,1,
01 Vasant Rutu,K7a.0,Kotha,,,,,,,1,
01 Vasant Rutu,K9.0,Kshudra Roga,,,,3,2,2,13,10
01 Vasant Rutu,K9.4,Kshudra Roga - Alajee,,,,,,1,,
01 Vasant Rutu,M1,Madaatyaya,,,,,1,,,
01 Vasant Rutu,M1.0,Madaatyaya - Paramada,,,,,,,1,
01 Vasant Rutu,M10.0,Medoroga,,,,2,20,5,4,1
01 Vasant Rutu,M10.1,Medoroga - Sthula medho roga,,,,42,27,43,24,13
01 Vasant Rutu,M10.2,Medoroga - Sukshma medho roga,,,,3,1,20,11,11
01 Vasant Rutu,M13.0,Mootra Roga,,,,3,3,7,5,2
01 Vasant Rutu,M14.0,Mootra Roga - Mootraaghaata,,,,,1,,,
01 Vasant Rutu,M14.13,Mootra Roga - Mootraaghaata - Raktagranthi,,,,,,,,1
01 Vasant Rutu,M16.0,Mootra Roga - Mootrakrichchhra,,,,2,2,1,4,1
01 Vasant Rutu,M16.9,Mootra Roga - Mootrakrichchhra - Vaataja Mootrakrichchhra,,,,,,1,,
01 Vasant Rutu,M18.0,Mukha Roga  - Mukha Shosha,,,,,,1,1,
01 Vasant Rutu,M18.10.10,Mukha Roga - Dantamoolagata Roga - Sheetaada,,,,,,,,2
01 Vasant Rutu,M18.11.0,Mukha Roga - Galagata Roga,,,,,3,2,4,2
01 Vasant Rutu,M18.11.2,Mukha Roga - Galagata Roga - Galaganda,,,,1,,3,6,2
01 Vasant Rutu,M18.11.4,Mukha Roga - Galagata Roga - Galapaaka,,,,,,,,2
01 Vasant Rutu,M18.11.9,Mukha Roga - Galagata Roga - Tundikeree,,,,,1,,,
01 Vasant Rutu,M18.12.0,Mukha Roga - Gandagata Roga,,,,,1,,,
01 Vasant Rutu,M18.14.0,Mukha Roga - Kanthagata Roga,,,,1,,2,,
01 Vasant Rutu,M18.16.8,Mukha Roga - Oshthagata Roga - Oshthakopa,,,,,,,,1
01 Vasant Rutu,M18.3,Mukha Roga  - Mukhadaaha,,,,,,,1,
01 Vasant Rutu,M18.9.0,Mukha Roga - Dantagata Roga,,,,,,,,8
01 Vasant Rutu,M18.9.1,Mukha Roga - Dantagata Roga  - Danta Daurbalya,,,,,,,,3
01 Vasant Rutu,M18.9.14,Mukha Roga - Dantagata Roga - Dantabheda,,,,,,,,1
01 Vasant Rutu,M18.9.2,Mukha Roga - Dantagata Roga  - Danta Maamsa Kandoo,,,,,,,1,2
01 Vasant Rutu,M18.9.3,Mukha Roga - Dantagata Roga  - Danta Maamsa Paaka,,,,1,,1,,1
01 Vasant Rutu,M18.9.4,Mukha Roga - Dantagata Roga  - Danta Maamsa Shoola,,,,,1,,,
01 Vasant Rutu,M18.9.8,Mukha Roga - Dantagata Roga  - Dantagata Raktasraava,,,,,,,,1
01 Vasant Rutu,M2.0,Madhumeha,,,1,12,27,113,159,191
01 Vasant Rutu,M5.0,Maanasa Roga,,,,3,1,5,2,6
01 Vasant Rutu,M5.1,Maanasa Roga - Vishada,,,,,2,2,5,4
01 Vasant Rutu,M5.3,Smriti Bhrmsha,,,,,2,3,3,
01 Vasant Rutu,M6.0,Marma Viddha,,,,,1,2,3,
01 Vasant Rutu,M6.25,Marma Viddha - Kukundara Viddha,,,,,,,,1
01 Vasant Rutu,M6.27,Marma Viddha - Maamsa Viddha,,,,,2,1,,
01 Vasant Rutu,M6.3,Marma Viddha - Amsa Viddha,,,,,1,1,,
01 Vasant Rutu,M6.38,Marma Viddha - Sandhi Viddha,,,,,1,1,,1
01 Vasant Rutu,M6.43,Marma Viddha - Snaayu Viddha,,,,3,2,3,1,3
01 Vasant Rutu,M6.8,Marma Viddha - Asthimarma Viddha,,,,,1,,,
01 Vasant Rutu,M8.0,Masoorikaa,,,,,,,1,
01 Vasant Rutu,M9.0,Medhra Roga,,,,,,,1,
01 Vasant Rutu,MS G1.0,Greeva Graha,,,,19,33,22,33,62
01 Vasant Rutu,MS M1.0,Mutrashteela,,,,3,1,5,6,5
01 Vasant Rutu,MS R1,Raktachapa,,,,6,4,8,9,10
01 Vasant Rutu,MS T1.0,Twak Vivarnya,,,,2,1,4,2,1
01 Vasant Rutu,N1.0,Naadee Vrana,,,,1,,1,,
01 Vasant Rutu,N2.0,Naasaa Roga,,,,,,,1,1
01 Vasant Rutu,N2.1,Naasaa Roga -  Naasaavarodha,,,,,,,2,
01 Vasant Rutu,N2.18,Naasaa Roga - Peenasa,,,,5,9,13,10,8
01 Vasant Rutu,N2.21.0,Naasaa Roga - Pratishyaaya,,,,4,9,12,5,2
01 Vasant Rutu,N2.21.1,Naasaa Roga - Pratishyaaya - Dushta Pratishyaaya,,,,1,1,1,2,2
01 Vasant Rutu,N2.21.2,Naasaa Roga - Pratishyaaya - Kaphaja Pratishyaaya,,,,1,,,,
01 Vasant Rutu,N2.21.3,Naasaa Roga - Pratishyaaya - Pittaja Pratishyaaya,,,,,,,1,1
01 Vasant Rutu,N2.21.7,Naasaa Roga - Pratishyaaya - Vaataja Pratishyaaya,,,,,1,,2,1
01 Vasant Rutu,N2.9,Naasaa Roga - Kshavathu,,,,,,1,2,
01 Vasant Rutu,N4.0,Netra Roga,,,,12,31,13,42,18
01 Vasant Rutu,N4.1,Netra Roga - Abhishyanda,,,,,,,2,
01 Vasant Rutu,N4.12,Netra Roga - Kandoo,,,,,,,1,1
01 Vasant Rutu,N4.13,Netra Roga - Kaphaja Linganaasha Shastrakarma Pashchaat,,,,,,,,3
01 Vasant Rutu,N4.14,Netra Roga - Upanaaha,,,,,,,1,
01 Vasant Rutu,N4.20,Netra Roga - Netra Gaurava,,,,,,1,,
01 Vasant Rutu,N4.22,Netra Roga - Netra Paaka,,,,,,,1,
01 Vasant Rutu,N4.27,Netra Roga - Paichchhilya,,,,,,,,1
01 Vasant Rutu,N4.35,Netra Roga - Triteeya Patalagata Timira,,,,,,,,9
01 Vasant Rutu,N4.4,Netra Roga  - Alpashopha Akshipaaka,,,,,,,1,
01 Vasant Rutu,N4.40.0,Netra Roga - Drishtigata,,,,,,,1,
01 Vasant Rutu,N4.40.16.0,Netra Roga - Drishtigata - Linganaasha,,,,,,,,1
01 Vasant Rutu,N4.40.20.0,Netra Roga - Drishtigata - Timira,,,,,,,2,
01 Vasant Rutu,N4.40.20.1,Netra Roga - Drishtigata - Timira - Kaphaja Timira,,,,,,,2,
01 Vasant Rutu,N4.40.9,Netra Roga - Drishtigata - Kaacha Roga - Kaphaja,,,,,,,2,
01 Vasant Rutu,N4.42.0,Netra Roga - Krishnagata,,,,,,,,1
01 Vasant Rutu,N4.46.2.1,Netra Roga - Shuklagata - Arma - Adhimaamsa Arma,,,,,,,,1
01 Vasant Rutu,N4.46.2.3,Netra Roga - Shuklagata - Arma - Prastaari Arma,,,,,,,,1
01 Vasant Rutu,N4.49.0,Netra Roga - Sandhigata,,,,,2,,,
01 Vasant Rutu,N4.50.0,Netra Roga - Sarvagata,,,,,,1,,
01 Vasant Rutu,N4.50.1.5,Netra Roga - Sarvagata - Abhishyanda - Vaataja Abhishyanda,,,,,,,,1
01 Vasant Rutu,N4.50.2.0,Netra Roga - Sarvagata - Adhimantha,,,,,1,,1,2
01 Vasant Rutu,N4.50.9,Netra Roga - Sarvagata - Shushkaakshi Paaka,,,,,,,,8
01 Vasant Rutu,N4.54.15,Netra Roga - Vartmagata - Nimesha,,,,,,1,,
01 Vasant Rutu,N4.54.26,Netra Roga - Vartmagata - Shushkaarsha,,,,,,,,1
01 Vasant Rutu,N4.55.31,Netra Roga - Vartmagata - Vaatahata,,,,,,,,2
01 Vasant Rutu,N5.0,Nidra Viparyaya / Nidra Bhanga,,,,,,,,2
01 Vasant Rutu,O1.0,Ojavikriti,,,,,,1,,1
01 Vasant Rutu,O1.2,Ojavikriti - Ojakshaya,,,1,,,1,,
01 Vasant Rutu,O1.4,Ojavikriti - Ojovisramsa,,,,,,2,2,2
01 Vasant Rutu,P2.0,Pandu,,,,,3,1,5,3
01 Vasant Rutu,P3.0,Pidaka,,,,,,,1,
01 Vasant Rutu,P5.0,Prameha,,,2,43,87,112,89,80
01 Vasant Rutu,P5.1,Prameha - Krusha,,,,1,,,,
01 Vasant Rutu,P5.2,Prameha - Pidaka,,,,1,,1,,2
01 Vasant Rutu,P5.3,Prameha - Sthula,,,,9,1,,,
01 Vasant Rutu,P5.4,Prameha - Upadrava,,,,11,2,4,6,7
01 Vasant Rutu,P5.5,Pramehajanya - Netraroga,,,,,,,,7
01 Vasant Rutu,R2.0,Raktapitta,,,,,,,,2
01 Vasant Rutu,S0.0,Saamavata,,,,,,4,7,8
01 Vasant Rutu,S1.0,Sheetapitta,,,,1,4,1,6,2
01 Vasant Rutu,S10.1,Stambha - Baahu Stambha,,,,2,,,1,
01 Vasant Rutu,S10.14,Stambha - Uru Stambha,,,,,,1,,
01 Vasant Rutu,S10.4,Stambha - Greevaa Stambha,,,,,,,2,4
01 Vasant Rutu,S12.0,Stanya dushti Sootika Roga,,,,,,,1,
01 Vasant Rutu,S13.0,Sthaanabhedena Graha,,,,1,,,,
01 Vasant Rutu,S13.1,Sthaanabhedena Graha - Anga Graha,,,,,1,,,
01 Vasant Rutu,S13.11,Sthaanabhedena Graha - Katee Graha,,,,20,50,48,41,41
01 Vasant Rutu,S13.18,Sthaanabhedena Graha - Paarshva Graha,,,,,,1,,
01 Vasant Rutu,S13.19,Sthaanabhedena Graha - Prishtha Graha,,,,1,5,9,7,8
01 Vasant Rutu,S13.23,Sthaanabhedena Graha - Vaak Graha,,,,,,1,4,1
01 Vasant Rutu,S13.3,Sthaanabhedena Graha - Gala Graha,,,,,,,,1
01 Vasant Rutu,S13.7,Sthaanabhedena Graha - Jaanugraha,,,,,1,,,
01 Vasant Rutu,S14.0,Sthaanabhedena Shoola,,,,10,16,11,28,51
01 Vasant Rutu,S14.1,Sthaanabhedena Shoola - Aamaashaya Shoola,,,,1,1,1,1,2
01 Vasant Rutu,S14.13,Sthaanabhedena Shoola - Gulpha Shoola,,,,,,2,1,6
01 Vasant Rutu,S14.16,Sthaanabhedena Shoola - Hrid Shoola,,,,,,1,1,
01 Vasant Rutu,S14.17,Sthaanabhedena Shoola - Jaanu Shoola,,,,10,11,2,3,3
01 Vasant Rutu,S14.18,Sthaanabhedena Shoola - Janghaa Shoola,,,,,,,,4
01 Vasant Rutu,S14.2,Sthaanabhedena Shoola - Aantra Shoola,,,,1,,,1,
01 Vasant Rutu,S14.21,Sthaanabhedena Shoola - Katee Shoola,,,1,37,41,56,61,76
01 Vasant Rutu,S14.23,Sthaanabhedena Shoola - Kukshi Shoola,,,,2,1,,,2
01 Vasant Rutu,S14.24,Sthaanabhedena Shoola - Manyaa Shoola,,,,,1,,2,1
01 Vasant Rutu,S14.3,Sthaanabhedena Shoola - Amsa Shoola,,,,4,,1,2,2
01 Vasant Rutu,S14.4,Sthaanabhedena Shoola - Anga Shoola,,,,4,4,4,4,2
01 Vasant Rutu,S14.5,Sthaanabhedena Shoola - Anguli Shoola,,,,1,,,,
01 Vasant Rutu,S14.6,Sthaanabhedena Shoola - Asthi Shoola,,,,1,2,5,1,
01 Vasant Rutu,S14.7,Sthaanabhedena Shoola - Baahu Shoola,,,,3,5,7,15,12
01 Vasant Rutu,S15.28,Sthaanabhedena Shoola - Nakha Shoola,,,,,,,1,
01 Vasant Rutu,S15.31,Sthaanabhedena Shoola - Paada Shoola,,,,1,,2,8,9
01 Vasant Rutu,S15.32,Sthaanabhedena Shoola - Paarshni Shoola,,,,,,2,,1
01 Vasant Rutu,S15.36,Sthaanabhedena Shoola - Prishtha Shoola,,,,7,2,4,3,
01 Vasant Rutu,S15.38,Sthaanabhedena Shoola - Shirah Shoola,,,,,4,1,2,
01 Vasant Rutu,S15.41,Sthaanabhedena Shoola - Sakthi Shoola,,,,1,,1,1,
01 Vasant Rutu,S15.42,Sthaanabhedena Shoola - Sandhi Shoola,,,,2,3,,1,1
01 Vasant Rutu,S15.47,Sthaanabhedena Shoola - Trika Shoola,,,,,,1,,1
01 Vasant Rutu,S15.48,Sthaanabhedena Shoola - Urah Shoola,,,,1,,,,1
01 Vasant Rutu,S15.50.0,Sthaanabhedena Shoola - Vrishana Shoola,,,,,,,1,
01 Vasant Rutu,S16.0,Sthaulya,,,,8,33,34,57,40
01 Vasant Rutu,S16.1,Stree Roga,,,,2,10,4,6,2
01 Vasant Rutu,S16.10,Stree Roga - Shvetapradara,,,,2,2,2,3,1
01 Vasant Rutu,S16.12,Stree Roga - Yonigata Sraava,,,,,2,,,
01 Vasant Rutu,S16.20.0,Stree Roga - Raktapradara,,,,,,,1,4
01 Vasant Rutu,S16.20.8,STREEROGA - RAJONIVRITHI VIKARA,,,,,,,,2
01 Vasant Rutu,S16.21.0,Stree Roga - Sootikaa Roga,,,,,1,,,
01 Vasant Rutu,S16.21.2,Stree Roga - Sootikaa Roga - Koshtha Shodhanaartha,,,,,,1,,
01 Vasant Rutu,S16.21.4,STREEROGA - SOOTIKAA PARICHARYA,,,,,,,,1
01 Vasant Rutu,S16.22,Stree Roga - Stana Roga,,,,,2,,1,1
01 Vasant Rutu,S16.27,Stree Roga - Stana Roga - Vaataja,,,,,,,,1
01 Vasant Rutu,S16.29.1,Stree Roga - Yoni Kandoo,,,,,2,,,
01 Vasant Rutu,S16.30.12,Stree Roga - Yonivyaapad - Mahaayoni,,,,,1,,,1
01 Vasant Rutu,S16.30.13,Stree Roga - Yonivyaapad - Pariplutaa,,,,,,,,1
01 Vasant Rutu,S16.30.15,Stree Roga - Yonivyaapad - Pittalaa,,,,,,,,1
01 Vasant Rutu,S16.30.23,Stree Roga - Yonivyaapad - Udaavartaa,,,,,,,1,1
01 Vasant Rutu,S16.30.9,Stree Roga - Yonivyaapad - Kaphajaa,,,,,,,,1
01 Vasant Rutu,S16.7,Stree Roga - Krichchhraartava,,,,1,,,1,
01 Vasant Rutu,S16.9,Stree Roga - Raja Kshaya,,,,1,,,,
01 Vasant Rutu,S17.0,Supti,,,,,,,6,9
01 Vasant Rutu,S17.1,Supti - Paada Supti,,,,,1,1,1,1
01 Vasant Rutu,S18.0,Swastha,,,,,7,5,8,11
01 Vasant Rutu,S18.1,Swaasthya Pareeksha,,,,,1,3,1,
01 Vasant Rutu,S1A.0,Shoola,,,,,1,1,1,
01 Vasant Rutu,S1A.2,Shoola - Annadrava Shoola,,,,1,,,,
01 Vasant Rutu,S1A.4,Shoola - Parinaama Shoola,,,,,,1,,
01 Vasant Rutu,S2.0,Shiroroga,,,,,,,,1
01 Vasant Rutu,S2.10,Shiroroga - Shirahshoola,,,,8,4,6,8,5
01 Vasant Rutu,S2.13,Shiroroga - Anantavaata,,,,,1,1,,
01 Vasant Rutu,S2.14,Shiroroga - Ardhaavabhedaka,,,,1,,2,1,5
01 Vasant Rutu,S2.15.2,Shiroroga - Kapaalagata Shiroroga - Daarunaka,,,,1,,2,,
01 Vasant Rutu,S2.15.5,Shirorog - Kapaalagata Shiroroga - Paalitya,,,,1,,,,
01 Vasant Rutu,S2.16.1,Shiroroga - Kaphaja Shiroroga - Shirahshoola,,,,,,,,2
01 Vasant Rutu,S2.19.1,Shiroroga - Pittaja Shiroroga - Shirahshoola,,,,,,,1,2
01 Vasant Rutu,S2.23,Shiroroga - Shirah Kampa,,,,,,,,1
01 Vasant Rutu,S2.25.2,Shiroroga - Vaataja Shiroroga - Shirahshoola,,,,,,,1,
01 Vasant Rutu,S3.0,Shotha,,,,4,10,8,7,5
01 Vasant Rutu,S3.1,Shotha - Vaatapittaja,,,,,1,,,
01 Vasant Rutu,S3.3,Shrama,,,,,,2,6,4
01 Vasant Rutu,S4.0,Shvaasa,,,,6,14,13,18,10
01 Vasant Rutu,S4.4,Shvaasa-tamaka shvasa,,,,1,,,,
01 Vasant Rutu,S5.0,Shvitra,,,,1,3,,3,3
01 Vasant Rutu,U1.0,Udaavarta,,,,1,1,1,,1
01 Vasant Rutu,U2.0,Udara,,,,,1,,1,
01 Vasant Rutu,U2.3,Udara- vata,,,,,,1,,
01 Vasant Rutu,U2.4,Udara- yakrut-pleeha,,,,,2,3,,1
01 Vasant Rutu,U2.6,Udara-jalodara,,,,,,1,1,
01 Vasant Rutu,U3.0,Udarda,,,,1,1,,2,2
01 Vasant Rutu,U4.0,Unmaada,,,,1,3,2,1,4
01 Vasant Rutu,U4.7,Unmaada - Manokhedaja,,,,,,,1,1
01 Vasant Rutu,V.10,Vatavyadhi - Avrita Vata,,,,,,,,1
01 Vasant Rutu,V1.0,Vaatarakta,,,,21,10,21,23,35
01 Vasant Rutu,V1.1,Vaatarakta - Dvandvaja,,,,,,1,,
01 Vasant Rutu,V1.2,Vaatarakta - Gambheera,,,,2,,1,1,
01 Vasant Rutu,V1.3,Vaatarakta - Kapha Vaataja,,,,1,1,1,,
01 Vasant Rutu,V1.4,Vaatarakta - Kaphaadhika Vaatarakta,,,,,,,1,
01 Vasant Rutu,V1.5,Vaatarakta - Pittaadhika Vaatarakta,,,,,,,1,
01 Vasant Rutu,V11.6,Vatavyadhi - Gatatva  - Raktagata Vata,,,,,,,,1
01 Vasant Rutu,V11.7,Vatavyadhi - Gatatva  - Sandhigata Vata,,,,,,,,3
01 Vasant Rutu,V11.8,Vatavyadhi - Gatatva  - Sarvangagata Vata,,,,,,,,1
01 Vasant Rutu,V13.0,Vrana,,,,1,5,3,,2
01 Vasant Rutu,V13.1.2,Vrana - Aagantuja (Sadyo) Vrana - Chhinna Aagantuja Vrana,,,,,,,1,
01 Vasant Rutu,V13.3,Vrana - Dushta Vrana,,,,,,3,1,6
01 Vasant Rutu,V13.8,Vrana - Kaphavaataraktaja Vrana,,,,,,,1,
01 Vasant Rutu,V15.1,Vriddhi - Aantraja,,,,1,,1,,1
01 Vasant Rutu,V16.0,Vrikka Roga,,,,1,8,8,11,8
01 Vasant Rutu,V2.0,Vaatavyaadhi,,,2,171,218,136,87,116
01 Vasant Rutu,V2.10,Vaatavyaadhi - Avabaahuka,,,,22,39,80,98,95
01 Vasant Rutu,V2.13,Vaatavyaadhi - Avasthaa - Supti,,,,1,,,,
01 Vasant Rutu,V2.14,Vaatavyaadhi - Avasthaa - Toda,,,,1,1,,,1
01 Vasant Rutu,V2.15,Vaatavyaadhi - Baadhirya,,,,,1,,,
01 Vasant Rutu,V2.16,Vaatavyaadhi - Baahugata Vaata,,,,2,,,1,
01 Vasant Rutu,V2.2,Vaatavyaadhi - Aadhmaana,,,,2,7,11,13,9
01 Vasant Rutu,V2.21,Vaatavyaadhi - Ekaangavaata,,,,,,,1,
01 Vasant Rutu,V2.23,Vaatavyaadhi - Gridhrasee,,,2,75,104,141,218,197
01 Vasant Rutu,V2.25,Vaatavyaadhi - Hanugraha,,,,,,,2,
01 Vasant Rutu,V2.28,Vaatavyaadhi - Hridayastha Vaata,,,,1,,,,
01 Vasant Rutu,V2.3.0,Vaatavyaadhi - Aakshepaka,,,,,,1,,
01 Vasant Rutu,V2.30,Vaatavyaadhi - Jaanugata Vaata,,,1,2,13,3,,
01 Vasant Rutu,V2.34.0,Vaatavyaadhi - Kampa,,,,3,4,9,10,17
01 Vasant Rutu,V2.35,Vaatavyaadhi - Karnashoola,,,,,,,1,
01 Vasant Rutu,V2.36,Vaatavyaadhi - Kateegata Vaata,,,3,22,18,4,4,43
01 Vasant Rutu,V2.38,Vaatavyaadhi - Khanja,,,,,,1,,
01 Vasant Rutu,V2.4.1,Vaatavyaadhi - Aavritavaata - Kaphaavrita Vaata,,,,,,,,3
01 Vasant Rutu,V2.42,Vaatavyaadhi - Maamsagata Vaata,,,,3,4,3,1,
01 Vasant Rutu,V2.43,Vaatavyaadhi - Maamsamedogata Vaata,,,,,,1,,
01 Vasant Rutu,V2.44,Vaatavyaadhi - Majjaagata Vaata,,,,,,,3,
01 Vasant Rutu,V2.45,Vaatavyaadhi - Majjaasthigata Vaata,,,,,,2,1,
01 Vasant Rutu,V2.46,Vaatavyaadhi - Manyaagata Vaata,,,,,2,,,
01 Vasant Rutu,V2.47,Vaatavyaadhi - Manyaastambha,,,,,,2,2,1
